target x,target y,x trajectory,y_trajectory
,,-0.026726603,0.002724596
,,-0.026886,0.002716424
,,-0.027045369,0.002707998
,,-0.027204696,0.002699318
,,-0.027363971,0.002690385
,,-0.027523179,0.002681202
,,-0.027682308,0.002671768
,,-0.027841346,0.002662087
,,-0.028000279,0.002652159
,,-0.028159093,0.002641985
,,-0.028317776,0.002631568
,,-0.028476314,0.002620908
,,-0.028634694,0.002610007
,,-0.028792903,0.002598867
,,-0.028950927,0.002587489
,,-0.029108752,0.002575874
,,-0.029266367,0.002564024
,,-0.029423757,0.00255194
,,-0.029580909,0.002539623
,,-0.029737811,0.002527076
,,-0.029894449,0.002514298
,,-0.030050812,0.002501292
,,-0.030206885,0.002488057
,,-0.030362657,0.002474597
,,-0.030518115,0.00246091
,,-0.030673247,0.002446999
,,-0.030828041,0.002432865
,,-0.030982486,0.002418507
,,-0.031136569,0.002403928
,,-0.03129028,0.002389127
,,-0.031443607,0.002374105
,,-0.031596539,0.002358863
,,-0.031749065,0.002343401
,,-0.031901175,0.002327721
,,-0.032052859,0.002311821
,,-0.032204105,0.002295703
,,-0.032354905,0.002279366
,,-0.032505249,0.002262812
,,-0.032655126,0.00224604
,,-0.032804527,0.00222905
,,-0.032953444,0.002211843
,,-0.033101866,0.002194418
,,-0.033249785,0.002176776
,,-0.033397192,0.002158916
,,-0.033544079,0.00214084
,,-0.033690437,0.002122545
,,-0.033836258,0.002104034
,,-0.033981533,0.002085306
,,-0.034126255,0.002066361
,,-0.034270416,0.002047198
,,-0.034414008,0.002027819
,,-0.034557023,0.002008223
,,-0.034699456,0.001988411
,,-0.034841297,0.001968383
,,-0.034982542,0.001948139
,,-0.035123182,0.001927679
,,-0.035263211,0.001907005
,,-0.035402623,0.001886116
,,-0.035541412,0.001865014
,,-0.035679572,0.001843699
,,-0.035817096,0.001822172
,,-0.03595398,0.001800434
,,-0.036090218,0.001778486
,,-0.036225803,0.00175633
,,-0.036360733,0.001733966
,,-0.036495,0.001711396
,,-0.036628602,0.001688623
,,-0.036761532,0.001665646
,,-0.036893788,0.001642469
,,-0.037025364,0.001619094
,,-0.037156256,0.001595522
,,-0.037286461,0.001571755
,,-0.037415976,0.001547797
,,-0.037544796,0.001523649
,,-0.03767292,0.001499315
,,-0.037800343,0.001474797
,,-0.037927064,0.001450098
,,-0.038053079,0.001425221
,,-0.038178388,0.00140017
,,-0.038302987,0.001374947
,,-0.038426877,0.001349556
,,-0.038550054,0.001324
,,-0.038672518,0.001298284
,,-0.038794269,0.00127241
,,-0.038915306,0.001246383
,,-0.039035628,0.001220207
,,-0.039155237,0.001193885
,,-0.039274131,0.001167421
,,-0.039392313,0.001140821
,,-0.039509782,0.001114088
,,-0.03962654,0.001087226
,,-0.039742589,0.00106024
,,-0.03985793,0.001033134
,,-0.039972565,0.001005913
,,-0.040086497,0.000978581
,,-0.040199729,0.000951142
,,-0.040312263,0.000923602
,,-0.040424103,0.000895965
,,-0.040535251,0.000868235
,,-0.040645711,0.000840418
,,-0.040755488,0.000812517
,,-0.040864585,0.000784537
,,-0.040973007,0.000756482
,,-0.041080757,0.000728358
,,-0.041187842,0.000700169
,,-0.041294265,0.000671918
,,-0.041400032,0.000643611
,,-0.041505147,0.000615252
,,-0.041609617,0.000586845
,,-0.041713447,0.000558394
,,-0.041816642,0.000529902
,,-0.041919208,0.000501375
,,-0.042021152,0.000472816
,,-0.042122479,0.000444228
,,-0.042223195,0.000415615
,,-0.042323307,0.000386981
,,-0.04242282,0.000358329
,,-0.042521742,0.000329661
,,-0.042620078,0.000300983
,,-0.042717835,0.000272295
,,-0.04281502,0.000243601
,,-0.042911638,0.000214904
,,-0.043007697,0.000186206
,,-0.043103202,0.00015751
,,-0.043198161,0.000128817
,,-0.043292579,0.00010013
,,-0.043386462,7.15E-05
,,-0.043479817,4.28E-05
,,-0.043572651,1.41E-05
,,-0.043664969,-1.45E-05
,,-0.043756777,-4.32E-05
,,-0.043848082,-7.18E-05
,,-0.043938888,-0.00010037
,,-0.044029203,-0.000128953
,,-0.044119031,-0.000157517
,,-0.044208379,-0.000186061
,,-0.044297251,-0.000214586
,,-0.044385653,-0.00024309
,,-0.044473591,-0.000271574
,,-0.044561068,-0.000300035
,,-0.044648091,-0.000328475
,,-0.044734664,-0.000356892
,,-0.044820793,-0.000385286
,,-0.044906481,-0.000413657
,,-0.044991733,-0.000442005
